food_name,food_group,calories,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,serving_size_g,protein_calorie_ratio
Gatte Ki Kadhi,Vegetarian,375,52.08,10.42,15.63,8.33,5.21,0,100,0.03
Thalipeeth,Vegetarian,255,44.35,8.87,7.76,4.43,3.33,0,100,0.03
Dal Baati Churma,Vegetarian,480,64,16,21.33,12.8,7.47,0,100,0.03
Bajre Ki Khichdi,Vegetarian,356,50.86,12.21,12.21,6.1,7.12,0,100,0.03
Masala Baati,Vegetarian,407,60.5,14.3,16.5,8.8,6.6,0,100,0.04
Mirchi Bada,Vegetarian,292,41.71,6.26,12.51,10.43,4.17,0,100,0.02
Chana Dal,Vegetarian,300,48.21,12.86,8.57,5.36,6.43,0,100,0.04
Ghughra,Vegetarian,236,35.91,6.16,8.21,8.21,4.1,0,100,0.03
Paneer Tikka,Vegetarian,315,18,22.5,13.5,4.5,3.6,36,100,0.07
Lehsun Ki Chutney,Vegetarian,59,5.9,0.84,2.53,1.69,1.69,0,100,0.01
Sev Tameta,Vegetarian,282,38.9,7.78,9.72,6.81,4.86,0,100,0.03
Moong Dal Chilla,Vegetarian,222,33.3,13.32,6.66,3.33,4.44,0,100,0.06
Methi Na Gota,Vegetarian,229,32.71,7.63,9.81,4.36,5.45,0,100,0.03
Papad,Vegetarian,104,19.5,2.6,5.2,0,2.6,0,100,0.03
Mawa Kachori,Vegetarian,318,39.75,7.95,13.91,14.91,4.97,0,100,0.03
Bhutte Ke Kees,Vegetarian,282,45.12,9.02,11.28,7.9,5.64,0,100,0.03
Dosa,Vegetarian,196,38.11,5.44,4.36,1.09,3.27,0,100,0.03
Idli,Vegetarian,154,30.8,4.11,2.05,0,3.08,0,100,0.03
Medu Vada,Vegetarian,252,30.24,6.05,12.1,3.02,4.03,0,100,0.02
Sambar,Vegetarian,202,33.67,7.86,6.73,4.49,5.61,0,100,0.04
Upma,Vegetarian,252,48,6,9.6,1.2,4.8,0,100,0.02
Adai,Vegetarian,288,39.72,13.9,7.94,3.97,4.97,0,100,0.05
Pongal,Vegetarian,322,48.79,7.81,9.76,3.9,3.9,0,100,0.02
Appam,Vegetarian,214,41.61,5.94,7.13,2.38,3.57,0,100,0.03
Chutney,Vegetarian,93,11.63,2.33,5.81,2.33,2.33,0,100,0.03
Masala Dosa,Vegetarian,336,50.91,7.13,12.22,5.09,4.07,0,100,0.02
Plain Paratha,Vegetarian,236,35.91,6.16,8.21,2.05,4.1,0,100,0.03
Rava Kesari,Vegetarian,266,39.41,3.94,9.85,19.7,2.96,0,100,0.01
Thousand Layer Dosa,Vegetarian,294,47.25,6.3,10.5,5.25,5.25,0,100,0.02
Chole Bhature,Vegetarian,448,54.76,11.95,19.91,7.96,4.98,0,100,0.03
Chutney Powder,Vegetarian,130,16.25,4.33,6.5,3.25,4.33,0,100,0.03
Ven Pongal,Vegetarian,322,47.35,7.58,9.47,4.74,5.68,0,100,0.02
Kal Dosa,Vegetarian,265,39.26,5.89,8.83,3.93,4.91,0,100,0.02
Boondi Raita,Vegetarian,121,13.96,3.72,4.65,3.72,1.86,0,100,0.03
Curd Rice,Vegetarian,280,46.67,7.26,8.3,4.15,6.22,0,100,0.03
Chana Sundal,Vegetarian,197,29.55,7.88,4.93,2.96,5.91,0,100,0.04
Avial,Vegetarian,292,36.5,5.48,10.95,6.39,7.3,0,100,0.02
Shira,Vegetarian,243,38.88,4.86,6.8,17.5,2.92,0,100,0.02
Vegetable Biryani,Vegetarian,396,59.4,11.88,11.88,7.92,6.93,0,100,0.03
Coconut Rice,Vegetarian,322,46,7.36,9.2,5.52,4.6,0,100,0.02
Mango Rice,Vegetarian,316,43.09,6.7,11.49,5.75,5.75,0,100,0.02
Bisi Bele Bath,Vegetarian,386,57.38,10.43,14.61,5.22,6.26,0,100,0.03
Idli Sambar,Vegetarian,246,44.73,8.95,6.71,5.59,5.59,0,100,0.04
Rava Dosa,Vegetarian,289,48.17,7.49,9.63,4.28,4.28,0,100,0.03
Keerai Masiyal,Vegetarian,240,35,7,8,5,6,0,100,0.03
Pesarattu,Vegetarian,268,38.29,8.61,7.66,2.87,4.79,0,100,0.03
Curd Vada,Vegetarian,224,26.88,7.17,7.17,3.58,4.48,0,100,0.03
Tomato Rice,Vegetarian,320,46.45,8.26,12.39,5.16,6.19,0,100,0.03
Vegetable Kurma,Vegetarian,375,53.57,10.71,16.07,8.57,7.5,0,100,0.03
Chana Masala,Vegetarian,318,47.7,12.72,10.6,5.3,6.36,0,100,0.04
Appam with Stew,Vegetarian,336,52.5,7.35,12.6,6.3,6.3,0,100,0.02
Chettinad Chicken Curry,Non-Vegetarian,400,30,25,20,5,6,70,100,0.06
Tomato Rasam,Vegetarian,99,14.85,2.97,2.97,1.98,3.96,0,100,0.03
Poha,Vegetarian,229,41.64,6.25,5.2,2.08,3.12,0,100,0.03
Cabbage Thoran,Vegetarian,245,34.3,5.88,8.82,3.92,5.88,0,100,0.02
Chili Bajji,Vegetarian,276,34.5,6.9,11.83,4.93,3.94,0,100,0.03
Masala Buttermilk,Vegetarian,83,9.22,3.69,2.77,2.77,1.84,0,100,0.04
Paneer Tikka,Vegetarian,315,18,22.5,13.5,4.5,3.6,36,100,0.07
Puli Pongal,Vegetarian,322,48.79,7.81,9.76,4.88,5.85,0,100,0.02
Adai Avial,Vegetarian,368,56.22,10.22,12.27,6.13,7.16,0,100,0.03
Shavige,Vegetarian,296,51.03,6.12,8.17,4.08,5.1,0,100,0.02
Chettinad Parotta,Vegetarian,340,51.52,8.24,12.36,6.18,5.15,0,100,0.02
Steamed Idli,Vegetarian,154,33,4.4,2.2,0,3.3,0,100,0.03
Balchao,Vegetarian,400,31.58,26.32,21.05,8.42,6.32,63.16,100,0.07
Curd Rice with Mango,Vegetarian,289,43.35,6.74,8.67,6.74,5.78,0,100,0.02
Mysore Pak,Vegetarian,339,43.59,5.81,14.53,24.21,3.87,0,100,0.02
Vegetable Saag,Vegetarian,286,39.45,8.88,9.86,5.92,6.9,0,100,0.03
Kootu,Vegetarian,340,53.13,8.5,12.75,5.31,8.5,0,100,0.03
Chole Bhature,Vegetarian,448,54.76,11.95,19.91,7.96,4.98,0,100,0.03
Thalipeeth,Vegetarian,255,44.35,8.87,7.76,4.43,3.33,0,100,0.03
Moon Dal Payasam,Vegetarian,294,41.34,5.51,9.19,13.78,4.59,0,100,0.02
Moong Dal Cheela,Vegetarian,242,38.5,13.2,6.6,3.3,4.4,0,100,0.05
Masala Dosa with Chutney,Vegetarian,336,52.5,7.35,12.6,5.25,4.2,0,100,0.02
Sweet Pongal,Vegetarian,276,44.36,5.91,7.89,14.79,4.93,0,100,0.02
Chettinad Idli,Vegetarian,167,27.83,4.64,2.78,1.86,3.71,0,100,0.03
Onion Pakora,Vegetarian,272,38.08,6.53,13.06,6.53,5.44,0,100,0.02
Kerala Sadya,Vegetarian,415,62.25,10.38,15.56,8.3,7.26,0,100,0.03
Sundal,Vegetarian,220,33,7.7,8.8,5.5,6.6,0,100,0.04
Coconut Chutney,Vegetarian,155,20.67,3.1,7.23,4.13,4.13,0,100,0.02
Bonda,Vegetarian,296,43.85,7.67,13.16,5.48,4.39,0,100,0.03
Palak Chaat,Vegetarian,230,31.36,5.23,10.45,5.23,6.27,0,100,0.02
Vegetable Uthappam,Vegetarian,320,46.45,8.26,12.39,5.16,7.23,0,100,0.03
Jackfruit Curry,Vegetarian,354,50.57,7.08,14.16,10.11,8.09,0,100,0.02
Ragi Dosa,Vegetarian,266,44.33,7.88,5.91,3.94,3.94,0,100,0.03
Besar Kebab,Vegetarian,260,32.5,11.14,7.43,5.57,4.64,0,100,0.04
Kara Kozhambu,Vegetarian,344,53.75,9.68,12.9,7.53,6.45,0,100,0.03
Kootu Curry,Vegetarian,301,46.71,10.38,9.34,5.19,6.23,0,100,0.03
Saravana Bhavan Dosa,Vegetarian,332,55.33,6.64,13.28,6.64,5.53,0,100,0.02
Peerkangai Thogayal,Vegetarian,140,20,6,4,3,2,0,100,0.04
Pesarattu with Ginger Chutney,Vegetarian,288,44.69,8.94,7.94,4.97,5.96,0,100,0.03
Medu Vada with Sambar,Vegetarian,274,40.59,6.09,10.15,5.07,4.06,0,100,0.02
Sundal with Coconut,Vegetarian,229,31.23,7.29,9.37,5.2,6.25,0,100,0.03
Kozhi Varuval,Vegetarian,400,26.32,30,21.05,6.32,7.37,63.16,100,0.08
Coconut Rice with Curry,Vegetarian,360,56.57,8.23,12.34,6.17,6.17,0,100,0.02
Hyderabadi Biryani,Vegetarian,450,60,12,18,9,7,0,100,0.03
Ambur Biryani,Vegetarian,412,52.7,11.5,15.33,7.67,5.75,0,100,0.03
Medu Vada with Coconut Chutney,Vegetarian,254,35.56,6.1,10.16,5.08,4.06,0,100,0.02
Vermicelli Payasam,Vegetarian,289,44.84,6.98,8.97,17.94,4.98,0,100,0.02
Sadya Rice,Vegetarian,342,53.74,7.82,9.77,6.84,5.86,0,100,0.02
Sambar Rice,Vegetarian,322,48.79,7.81,9.76,5.85,4.88,0,100,0.02
Vegetable Ishtoo,Vegetarian,322,50.31,8.05,10.06,5.03,7.04,0,100,0.03
Neer Dosa,Vegetarian,214,34.05,4.86,5.84,1.95,2.92,0,100,0.02
Ven Pongal with Coconut Chutney,Vegetarian,335,49.26,8.87,10.84,6.9,5.91,0,100,0.03
Thakkali Rasam,Vegetarian,120,18,3,4,2,5,0,100,0.03
Chili Paneer,Vegetarian,335,28.71,19.14,14.36,4.79,5.74,47.86,100,0.06
Chettinad Egg Curry,Non-Vegetarian,400,30,25,20,5,6,60,100,0.06
Chappathi,Vegetarian,238,43.27,6.49,6.49,3.25,5.41,0,100,0.03
Curd Rice with Pappad,Vegetarian,280,43.45,6.76,7.72,4.83,5.79,0,100,0.02
Parippu Curry,Vegetarian,282,40.29,8.06,10.07,4.03,6.04,0,100,0.03
Vegetable Pulao,Vegetarian,364,54.11,8.85,11.81,7.87,6.89,0,100,0.02
Onion Dosa,Vegetarian,298,46.24,7.19,10.28,4.11,5.14,0,100,0.02
Chili Gobi,Vegetarian,292,43.26,6.49,12.98,5.41,5.41,0,100,0.02
South Indian Curry,Vegetarian,403,63.33,13.82,17.27,6.91,8.06,0,100,0.03
Palak Paneer,Vegetarian,343,39.2,11.76,14.7,5.88,6.86,49,100,0.03
Parotta,Vegetarian,318,53,7.42,10.6,6.36,5.3,0,100,0.02
Chettinad Fish Curry,Non-Vegetarian,392,25.79,28.88,20.63,5.16,6.19,72.21,100,0.07
Masala Uttapam,Vegetarian,340,48.57,7.77,11.66,5.83,5.83,0,100,0.02
Steamed Rice,Vegetarian,214,43.77,3.89,1.95,0,0,0,100,0.02
Kara Dosa,Vegetarian,296,52.86,6.34,8.46,4.23,5.29,0,100,0.02
Pesarattu with Coconut Chutney,Vegetarian,288,43.2,8.64,7.68,4.8,5.76,0,100,0.03
Mysore Bonda,Vegetarian,296,43.85,7.67,13.16,5.48,4.39,0,100,0.03
Curd Vada with Sambar,Vegetarian,282,40.29,8.06,10.07,5.04,5.04,0,100,0.03
Ragi Mudde,Vegetarian,246,39.36,7.87,5.9,1.97,6.89,0,100,0.03
Koottu Curry,Vegetarian,348,54.38,10.88,13.05,5.44,6.53,0,100,0.03
Appam with Egg Curry,Non-Vegetarian,391,58.12,9.51,15.85,7.4,7.4,0,100,0.02
Chana Sundal,Vegetarian,197,29.55,7.88,4.93,2.96,5.91,0,100,0.04
Chili Rava,Vegetarian,236,34.42,5.9,7.87,3.93,4.92,0,100,0.03
Neer Mor,Vegetarian,88,9.78,2.93,3.91,1.96,2.93,0,100,0.03
Tomato Poori,Vegetarian,340,53.13,8.5,12.75,6.38,6.38,0,100,0.03
Jackfruit Biryani,Vegetarian,406,60.9,10.15,14.21,8.12,7.11,0,100,0.03
Spinach Pakora,Vegetarian,252,30.24,6.05,12.1,5.04,4.03,0,100,0.02
Vegetable Thoran,Vegetarian,249,36.31,7.26,9.34,4.15,6.23,0,100,0.03
Cholam Koozh,Vegetarian,304,54.29,8.69,8.69,3.26,5.43,0,100,0.03
Palak Paratha,Vegetarian,302,43.84,7.79,9.74,5.85,4.87,0,100,0.03
Curd Pulao,Vegetarian,336,52.5,7.35,12.6,4.2,6.3,0,100,0.02
Chili Gobi with Rice,Vegetarian,407,69.77,9.3,17.44,8.14,5.81,0,100,0.02
Vegetable Adai,Vegetarian,292,45.31,10.07,8.06,6.04,5.03,0,100,0.03
Kanji,Vegetarian,240,49.09,6.55,4.36,0,3.27,0,100,0.03
Meen Pollichathu,Vegetarian,420,35.85,25.61,20.49,7.17,6.15,71.71,100,0.06
Ven Pongal with Sambar,Vegetarian,322,48.79,7.81,9.76,4.88,5.85,0,100,0.02
Masala Kootu,Vegetarian,326,52.58,9.46,10.52,5.26,7.36,0,100,0.03
Appam with Coconut Milk,Vegetarian,364,58.88,9.64,12.85,6.42,6.42,0,100,0.03
Chutney Rice,Vegetarian,298,44.7,6.95,9.93,4.97,5.96,0,100,0.02
Chana Pulao,Vegetarian,348,48.33,9.67,11.6,5.8,6.77,0,100,0.03
Rasam Rice,Vegetarian,318,48.18,6.75,9.64,3.85,5.78,0,100,0.02
Paruppu Curry,Vegetarian,292,43.8,9.73,7.79,3.89,4.87,0,100,0.03
Medu Vada with Coconut Chutney,Vegetarian,292,43.26,6.49,12.98,5.41,4.33,0,100,0.02
Chili Paneer with Rice,Vegetarian,442,58.16,23.26,20.94,9.31,8.14,58.16,100,0.05
Vegetable Biryani with Raita,Vegetarian,415,55.33,9.22,13.83,7.38,6.46,0,100,0.02
Coconut Kheer,Vegetarian,252,34.76,4.34,6.95,17.38,5.21,0,100,0.02
Onion Uttapam,Vegetarian,340,53.13,8.5,12.75,6.38,6.38,0,100,0.03
Chettinad Mutton Curry,Non-Vegetarian,450,36.63,29.3,23.02,7.33,6.28,62.79,100,0.07
Vegetable Theeyal,Vegetarian,344,52.12,9.38,12.51,6.25,6.25,0,100,0.03
Poha with Peanuts,Vegetarian,247,42.96,6.44,7.52,5.37,4.3,0,100,0.03
Puliyodarai,Vegetarian,378,59.4,8.64,15.12,5.4,7.56,0,100,0.02
Kadambam,Vegetarian,358,49.72,7.96,13.92,5.97,5.97,0,100,0.02
Vegetable Uthappam,Vegetarian,320,46.45,8.26,12.39,5.16,7.23,0,100,0.03
Green Gram Curry,Vegetarian,348,54.38,10.88,13.05,5.44,6.53,0,100,0.03
Sundal with Tamarind,Vegetarian,240,36.52,7.3,8.35,4.17,6.26,0,100,0.03
Cholam Pongal,Vegetarian,288,44.69,8.94,7.94,5.96,4.97,0,100,0.03
Vegetable Moong Dal,Vegetarian,326,52.58,9.46,10.52,5.26,6.31,0,100,0.03
Mutton Sukka,Non-Vegetarian,400,30,25,20,7,7,80,100,0.06
Palakkad Iyer Sambar,Vegetarian,322,48.79,7.81,9.76,4.88,5.85,0,100,0.02
Chettinad Pepper Chicken,Non-Vegetarian,382,30.16,25.13,18.09,6.03,6.03,60.32,100,0.07
Vegetable Korma,Vegetarian,371,53,9.54,15.9,8.48,6.36,0,100,0.03
Ragi Dosa with Coconut Chutney,Vegetarian,266,42.75,7.6,5.7,3.8,4.75,0,100,0.03
Beetroot Poriyal,Vegetarian,264,42.24,8.45,8.45,4.22,7.39,0,100,0.03
Moong Dal Kachori,Vegetarian,292,43.26,6.49,12.98,6.49,5.41,0,100,0.02
Kozhi Rasam,Vegetarian,348,46.4,23.2,13.92,6.96,5.8,81.2,100,0.07
Curry Leaf Rice,Vegetarian,340,54.84,8.77,13.16,5.48,6.58,0,100,0.03
Potato Masala,Vegetarian,190,31.67,4.22,6.33,2.11,4.22,0,100,0.02
Vegetable Sambar,Vegetarian,340,51.52,8.24,12.36,6.18,6.18,0,100,0.02
Onion Pakora with Chutney,Vegetarian,272,38.08,6.53,13.06,6.53,5.44,0,100,0.02
Peanut Sundal,Vegetarian,220,30,7,8,4,6,0,100,0.03
Palak Rice,Vegetarian,340,53.13,8.5,12.75,6.38,6.38,0,100,0.03
Masala Pongal,Vegetarian,326,49.39,8.89,9.88,5.93,5.93,0,100,0.03
Vegetable Dosa,Vegetarian,320,46.45,8.26,12.39,5.16,6.19,0,100,0.03
Chettinad Egg Fry,Non-Vegetarian,382,30.16,25.13,18.09,7.04,6.03,60.32,100,0.07
Cabbage Kofta Curry,Vegetarian,362,53.24,9.58,14.91,6.39,6.39,0,100,0.03
Rice with Rasam,Vegetarian,280,45,7,8,5,5,0,100,0.03
Spinach Rice,Vegetarian,340,51.52,8.24,12.36,6.18,6.18,0,100,0.02
Vegetable Masala Dosa,Vegetarian,378,59.4,8.64,15.12,7.56,6.48,0,100,0.02
Tomato Kootu,Vegetarian,297,46.09,9.22,9.22,5.12,7.17,0,100,0.03
Chili Methi Paratha,Vegetarian,340,54.84,8.77,13.16,6.58,5.48,0,100,0.03
Kootu with Rice,Vegetarian,364,57.2,9.36,12.48,6.24,7.28,0,100,0.03
Curd Bhature,Vegetarian,400,59.46,9.73,17.3,8.65,6.49,0,100,0.02
Masala Kadamba,Vegetarian,344,47.78,8.6,11.47,6.69,5.73,0,100,0.03
Vegetable Bonda,Vegetarian,254,37.04,6.35,10.58,4.23,5.29,0,100,0.03
Rice with Tamarind Paste,Vegetarian,280,45,7,8,5,6,0,100,0.03
Avial with Rice,Vegetarian,340,48.57,7.77,11.66,5.83,5.83,0,100,0.02
Chettinad Mutton Biryani,Non-Vegetarian,468,62.4,12.48,20.8,9.36,7.28,0,100,0.03
Avial,Vegetarian,340,51.52,8.24,12.36,6.18,6.18,0,100,0.02
Rasam Vada,Vegetarian,282,41.78,8.36,10.44,6.27,5.22,0,100,0.03
Vegetable Stew,Vegetarian,326,52.58,9.46,10.52,5.26,7.36,0,100,0.03
Chana Masala,Vegetarian,317,44.58,13.87,8.92,5.94,5.94,0,100,0.04
Palak Kootu,Vegetarian,268,38.29,8.61,7.66,4.79,5.74,0,100,0.03
Chettinad Chicken Biryani,Non-Vegetarian,490,63.91,23.43,19.17,9.59,8.52,53.26,100,0.05
Sambar Sadam,Vegetarian,360,56.57,8.23,12.34,6.17,7.2,0,100,0.02
Curd Rice,Vegetarian,280,42,6.53,7.47,5.6,4.67,0,100,0.02
Masala Dosa with Sambar,Vegetarian,378,56.19,8.17,14.3,7.15,7.15,0,100,0.02
Tomato Rasam,Vegetarian,260,37.14,6.5,7.43,4.64,5.57,0,100,0.03
Pesarattu with Ginger Chutney,Vegetarian,344,53.75,9.68,12.9,6.45,7.53,0,100,0.03
Onion Sambar,Vegetarian,340,54.84,8.77,13.16,6.58,6.58,0,100,0.03
Mango Rice,Vegetarian,342,57,8.29,10.36,7.25,5.18,0,100,0.02
Appam with Sweetened Coconut Milk,Vegetarian,360,56.57,8.23,12.34,8.23,7.2,0,100,0.02
Kootu Curry with Rice,Vegetarian,326,49.39,8.89,9.88,5.93,6.92,0,100,0.03
Avial Rice,Vegetarian,344,49.14,8.85,11.79,6.88,5.9,0,100,0.03
Vegetable Kurma,Vegetarian,344,50.59,9.11,12.14,7.08,6.07,0,100,0.03
Pulao with Cucumber Raita,Vegetarian,378,56.19,8.17,14.3,7.15,6.13,0,100,0.02
Bombil Fry,Vegetarian,335,26.45,17.63,13.22,7.05,4.41,61.71,100,0.05
South Indian Lemon Rice,Vegetarian,322,48.79,7.81,9.76,5.85,5.85,0,100,0.02
Vegetable Pakora,Vegetarian,236,34.42,5.9,7.87,4.92,3.93,0,100,0.03
Spicy Fish Fry,Non-Vegetarian,400,25,28.5,20,7,6,60,100,0.07
Poha with Coconut,Vegetarian,247,39.52,5.93,6.92,4.94,4.94,0,100,0.02
Palakkad Sambar,Vegetarian,344,55.48,9.99,13.32,6.66,6.66,0,100,0.03
Mutton Biryani,Non-Vegetarian,468,62.4,12.48,20.8,9.36,7.28,62.4,100,0.03
Chettinad Prawn Curry,Non-Vegetarian,374,22.26,24.93,16.03,8.01,6.23,62.33,100,0.07
Curd Rice with Pickles,Vegetarian,289,41.95,6.53,8.39,5.59,5.59,0,100,0.02
Vegetable Pulao with Raita,Vegetarian,391,56.59,9.26,15.43,6.17,7.2,0,100,0.02
Tomato Thokku,Vegetarian,155,20.67,3.1,7.23,5.17,3.1,0,100,0.02
Idli with Tomato Chutney,Vegetarian,256,42.67,6.4,8.53,4.27,5.33,0,100,0.03
Chettinad Egg Biryani,Non-Vegetarian,442,58.93,9.82,17.68,8.84,6.88,49.11,100,0.02
Rice and Kadala Curry,Vegetarian,348,49.71,9.94,11.93,5.97,6.96,0,100,0.03
Masala Khichdi,Vegetarian,312,47.27,9.45,7.56,5.67,5.67,0,100,0.03
Avial with Rice,Vegetarian,364,58.88,9.64,12.85,7.49,7.49,0,100,0.03
Thoran,Vegetarian,326,50.94,9.17,10.19,5.09,7.13,0,100,0.03
Vegetable Dosa with Sambar,Vegetarian,360,56.57,8.23,12.34,7.2,6.17,0,100,0.02
Chettinad Mutton Sukka,Non-Vegetarian,412,29.43,27.47,19.62,6.87,5.89,68.67,100,0.07
Paratha with Green Chutney,Vegetarian,353,50.43,9.08,13.11,8.07,7.06,0,100,0.03
Puliyodarai Rice,Vegetarian,360,60,8.73,13.09,6.55,7.64,0,100,0.02
Onion Rice,Vegetarian,318,51.29,7.18,10.26,6.15,7.18,0,100,0.02
Vegetable Pesarattu,Vegetarian,340,53.13,8.5,12.75,6.38,7.44,0,100,0.03
Chana Sundal,Vegetarian,220,30,7,8,5,6,0,100,0.03
Tomato Upma,Vegetarian,302,45.3,8.05,10.07,5.03,6.04,0,100,0.03
Methi Thepla,Vegetarian,320,45,8,12,6,6,0,100,0.03
Beetroot Rice,Vegetarian,322,50.31,8.05,10.06,5.03,7.04,0,100,0.03
Chili Methi Rice,Vegetarian,342,57,8.29,10.36,7.25,6.22,0,100,0.02
Sambar with Rice,Vegetarian,344,52.12,9.38,12.51,6.25,6.25,0,100,0.03
Vegetable Dosa,Vegetarian,316,45.87,7.14,12.23,5.1,6.12,0,100,0.02
Vegetable Masala Biryani,Vegetarian,442,63.14,10.52,18.94,9.47,7.37,0,100,0.02
Palak Pakora,Vegetarian,236,34.42,5.9,7.87,3.93,5.9,0,100,0.03
Mangalore Buns,Vegetarian,269,43.04,7.53,9.68,6.46,5.38,0,100,0.03
Chettinad Fish Fry,Non-Vegetarian,335,26.45,17.63,13.22,7.05,4.41,61.71,100,0.05
Appam with Curry,Vegetarian,360,56.57,8.23,12.34,7.2,7.2,0,100,0.02
Chana Biryani,Vegetarian,391,58.12,9.51,15.85,8.45,7.4,0,100,0.02
Thayir Sadam,Vegetarian,280,45,7,8,6,6,0,100,0.03
Vegetable Sambar Rice,Vegetarian,344,52.12,9.38,12.51,6.25,6.25,0,100,0.03
Peanut Rice,Vegetarian,322,48.79,7.81,9.76,5.85,5.85,0,100,0.02
Cucumber Pachadi,Vegetarian,113,13.04,1.74,4.35,5.22,3.48,0,100,0.02
Chili Dosa,Vegetarian,336,56,7.84,13.44,8.96,6.72,0,100,0.02
Medu Vada with Sambar,Vegetarian,278,41.19,7.21,10.3,5.15,6.18,0,100,0.03
Vegetable Uthappam,Vegetarian,326,50.94,9.17,10.19,6.11,7.13,0,100,0.03
Rava Kesari,Vegetarian,228,29.56,3.38,6.76,16.89,3.38,0,100,0.01
Curd Paratha,Vegetarian,336,52.5,7.35,12.6,6.3,6.3,0,100,0.02
Chettinad Chicken Masala,Non-Vegetarian,382,27.29,22.74,16.37,7.28,5.46,63.67,100,0.06
Masala Pongal,Vegetarian,326,49.39,8.89,9.88,5.93,5.93,0,100,0.03
Tomato Rasam Rice,Vegetarian,344,52.12,9.38,12.51,6.25,6.25,0,100,0.03
Vegetable Biryani with Raita,Vegetarian,415,55.33,9.22,13.83,7.38,6.46,0,100,0.02
Chili Gobi Rice,Vegetarian,378,59.4,8.64,15.12,7.56,6.48,0,100,0.02
Mysore Pak,Vegetarian,275,27.5,4.58,13.75,22.92,3.67,0,100,0.02
Kootu with Rice,Vegetarian,326,50.94,9.17,10.19,5.09,7.13,0,100,0.03
Rice with Raita,Vegetarian,280,45,7,8,5,6,0,100,0.03
Chettinad Prawn Biryani,Non-Vegetarian,490,62.55,22.94,18.77,9.38,7.3,72.98,100,0.05
Palak Chapati,Vegetarian,344,53.75,9.68,12.9,6.45,6.45,0,100,0.03
Vegetable Kootu Curry,Vegetarian,288,43.2,8.64,7.68,4.8,5.76,0,100,0.03
Spicy Fish Curry,Non-Vegetarian,374,22.26,24.93,16.03,8.01,5.34,62.33,100,0.07
Butter Chicken,Non-Vegetarian,425,18.89,26.92,23.61,6.61,5.67,66.11,100,0.06
Chole Bhature,Vegetarian,500,65,15,20,8,6,0,100,0.03
Shahi Paneer,Vegetarian,405,28.93,14.46,24.11,5.79,6.75,0,100,0.04
Aloo Paratha,Vegetarian,340,51.52,8.24,12.36,7.21,5.15,0,100,0.02
Dal Tadka,Vegetarian,363,46.67,12.45,15.56,5.19,6.22,0,100,0.03
Paneer Tikka,Vegetarian,322,16.1,26.83,19.32,3.22,5.37,53.67,100,0.08
Palak Paneer,Vegetarian,362,28.58,19.05,17.15,6.67,4.76,0,100,0.05
Lassi,Vegetarian,152,15.2,5.07,8.11,10.13,3.04,0,100,0.03
Kadhi Pakora,Vegetarian,382,42.97,9.55,17.19,4.77,5.73,0,100,0.03
Vegetable Pulao,Vegetarian,342,53.74,7.82,9.77,5.86,4.89,0,100,0.02
Rajma,Vegetarian,368,52.57,15.77,12.62,5.26,6.31,0,100,0.04
Gulab Jamun,Vegetarian,270,43.2,5.4,10.8,16.2,3.24,0,100,0.02
Biriyani,Vegetarian,450,60,12,18,8,6,50,100,0.03
Masoor Dal,Vegetarian,303,48.7,16.23,7.58,5.41,6.49,0,100,0.05
Methi Thepla,Vegetarian,256,40.96,6.14,8.19,4.1,5.12,0,100,0.02
Malai Kofta,Vegetarian,393,26.2,10.48,21.83,6.11,6.99,0,100,0.03
Pakoras,Vegetarian,276,34.5,6.9,11.83,4.93,4.93,0,100,0.03
Dum Aloo,Vegetarian,382,45.24,10.05,18.09,6.03,5.03,0,100,0.03
Navratan Korma,Vegetarian,400,43.9,9.76,19.51,6.83,5.85,0,100,0.02
Pulao,Vegetarian,338,54.68,6.96,9.94,5.96,4.97,0,100,0.02
Chana Masala,Vegetarian,320,48.48,11.64,7.76,4.85,6.79,0,100,0.04
Tandoori Roti,Vegetarian,191,37.14,6.37,3.18,5.31,2.12,0,100,0.03
Shrikhand,Vegetarian,234,29.25,5.85,9.75,19.5,2.92,0,100,0.03
Keema Matar,Vegetarian,390,34.12,21.45,17.55,7.8,5.85,39,100,0.06
Chole,Vegetarian,340,53.43,11.66,7.77,3.89,6.8,0,100,0.03
Vegetable Korma,Vegetarian,382,45.24,10.05,18.09,6.03,6.03,0,100,0.03
Paneer Butter Masala,Vegetarian,452,34.39,14.74,25.06,6.88,5.9,0,100,0.03
Chapati,Vegetarian,158,31.6,5.27,2.11,4.21,3.16,0,100,0.03
Saag Aloo,Vegetarian,300,40,8,12,5,5,0,100,0.03
Dal Makhani,Vegetarian,402,43.07,14.36,17.23,6.7,5.74,0,100,0.04
Achari Paneer,Vegetarian,380,30,20,20,8,5,0,100,0.05
Paratha,Vegetarian,294,52.92,7.06,11.76,8.23,5.88,0,100,0.02
Shahi Paneer,Vegetarian,470,36.56,15.67,26.63,5.22,6.27,0,100,0.03
Gajar Halwa,Vegetarian,248,34.21,3.42,6.84,17.1,2.57,0,100,0.01
Poori,Vegetarian,230,31.36,5.23,10.45,5.23,3.14,0,100,0.02
Chicken Tikka,Non-Vegetarian,255,4.55,22.77,13.66,4.55,3.64,54.64,100,0.09
Methi Paratha,Vegetarian,318,54.83,7.68,10.97,6.58,4.39,0,100,0.02
